EVENT DATE,SOURCE,CAMPAIGN,UNIQUE ID,PUBLISHER ID,ORDER NUMBER,ORDER VALUE
"Oct 5, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0098700791,184.137681
"Oct 5, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 5, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0069680636,205.636734713
"Oct 5, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0045965751,233.1104685
"Oct 5, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0022259501,285.854160638
"Oct 5, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0056918551,350.457622289
"Oct 5, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0032561872,142.80464834999998
"Oct 4, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0028975752,83.302711538
"Oct 4, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0081472571,39.700863475
"Oct 4, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0098194623,208.62407475
"Oct 4, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0032215556,null
"Oct 4, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0023935491,78.503378363
"Oct 4, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0000096568,809.6670957389999
"Oct 4, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0059767349,91.921922138
"Oct 4, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0074008250,null
"Oct 4, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 4, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0050787239,59.403991238
"Oct 3, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0030302132,695.365123863
"Oct 3, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0098845512,66.051436588
"Oct 3, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0088524871,125.517254363
"Oct 3, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0052053443,175.32257925
"Oct 3, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0077735607,24.48639375
"Oct 3, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 3, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0018748301,600.01305
"Oct 2, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 2, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0058792073,288.93944625
"Oct 2, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0099673884,171.159892313
"Oct 2, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0024829556,87.17156175
"Oct 2, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0003630846,44.07550875
"Oct 2, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0080356274,131.2470705
"Oct 2, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0062514426,null
"Oct 2, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0053146689,261.51468525
"Oct 2, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0081234396,null
"Oct 1, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0086448234,34.623760763
"Oct 1, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0010864421,84.38011286599999
"Oct 1, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 1, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90032272161,61.86242517
"Oct 1, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0069812556,26.984005913
"Oct 1, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0004449963,32.566903688
"Oct 1, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0062294508,534.0116145
"Oct 1, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90032272161,30.921418028
"Oct 1, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90032272161,23.644061805
"Oct 1, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0076001593,67.80147464999997
"Sep 30, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90008815590,171.40475625
"Sep 30, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90013863164,190.944898463
"Sep 30, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Sep 30, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90080366997,220.37754375
"Sep 30, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90013145664,46.915930425
"Sep 30, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90001702349,138.739906988
"Sep 30, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90081114966,109.307261702
"Sep 30, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEH90050930994,479.01041825
"Sep 30, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90035354818,185.11713675
"Sep 29, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEH90097946849,273.115940143
"Sep 29, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEH90097946849,30.350660113
"Sep 29, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90087106583,58.130698763
"Sep 29, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEH90097946849,573.302469058
"Sep 29, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90069865048,null
"Sep 29, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90009643519,43.830644813
"Sep 29, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90011211575,126.34979175
"Sep 29, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEH90097946849,35.24076647
"Sep 29, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90030454451,114.59632275
"Sep 29, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Sep 29, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEH90097946849,15.860344955
"Sep 28, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEH90074655151,38.4008352
"Sep 28, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEH90076794040,830.0180525
"Sep 28, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Sep 28, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90068385818,319.253601713
"Sep 28, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90040274730,146.9183625
"Sep 28, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEH90074655151,40.28087609
"Sep 28, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90067257325,64.6440795
"Sep 28, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEH90045103062,210.0045675
"Sep 27, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Sep 27, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90084365169,284.62984095
"Sep 27, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90076355653,368.03049806300004
"Sep 27, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90020965238,439.77563175
"Sep 27, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90007767069,174.58798743900002
"Sep 26, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90063682633,171.40475625
"Sep 26, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Sep 25, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90003062791,303.33744577600004
"Sep 25, 2025",C1000266L,CHEESECAKE,14727,AFFCC10739285JRPMKTG,null,null
"Sep 25, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Sep 25, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAH90044487999,215.48026500100002
"Sep 21, 2025",C1000266L,CHEESECAKE,14727,AFFCC10739285JRPMKTG,null,null
